ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),State,Total Towers(Present),Total Towers(before 5 years)
20445,Vodafone,LTower, 595.00 ,Spotted Dove,34,Nagaland,355,253
20446,BSNL,GTower, 403.00 ,Kite,56,Odisha,606,64
20447,Idea,LTower, 694.00 ,Bulbul,43,Punjab,100,244
20448,Jio,MTower, 800.00 ,Sparrow,26,Rajasthan,623,83
20449,Jio,LTower, 672.00 ,Bulbul,34,Sikkim,628,120
20450,Airtel,GTower, 864.00 ,Kite,52,Tamil Nadu,835,122
20451,BSNL,GTower, 444.00 ,Spotted Dove,69,Telangana,789,237
20452,Vodafone,MTower, 870.00 ,Sparrow,29,Tripura,422,233
20453,Idea,LTower, 831.00 ,Sparrow,59,Uttarakhand,270,92
20454,BSNL,MTower, 302.00 ,Bulbul,39,Uttar Pradesh,139,77
20455,Jio,GTower, 540.00 ,Kite,29,West Bengal,749,105
20456,Airtel,LTower, 828.00 ,Bulbul,40,Andhra Pradesh,115,219
20457,Vodafone,MTower, 844.00 ,Sparrow,27,Arunachal Pradesh,652,157
20458,BSNL,GTower, 880.00 ,Spotted Dove,24,Assam,306,127
20459,Idea,LTower, 568.00 ,Kite,38,Bihar,627,75
20460,Jio,GTower, 800.00 ,Bulbul,54,Chhattisgarh,578,93
20461,Jio,LTower, 347.00 ,Sparrow,33,Goa,411,235
20462,Airtel,MTower, 889.00 ,Spotted Dove,52,Gujarat,351,259
20463,BSNL,LTower, 830.00 ,Bulbul,23,Haryana,776,225
20464,Vodafone,GTower, 322.00 ,Kite,54,Andhra Pradesh,301,269
20465,Idea,GTower, 830.00 ,Sparrow,31,Arunachal Pradesh,415,271
20466,BSNL,MTower, 573.00 ,Spotted Dove,78,Assam,578,133
20467,Jio,LTower, 832.00 ,Kite,75,Bihar,323,69
20468,Airtel,MTower, 486.00 ,Bulbul,51,Chhattisgarh,793,172
20469,Vodafone,GTower, 337.00 ,Sparrow,51,Goa,689,171
20470,BSNL,LTower, 626.00 ,Bulbul,30,Gujarat,817,176
20471,Idea,MTower, 389.00 ,Kite,57,Haryana,427,152
20472,Jio,GTower, 332.00 ,Spotted Dove,62,Himachal Pradesh,133,247
20473,Jio,LTower, 788.00 ,Sparrow,67,Jharkhand,355,285
20474,Airtel,GTower, 698.00 ,Sparrow,20,Karnataka,499,73
20475,BSNL,LTower, 687.00 ,Bulbul,66,Kerala,169,299
20476,Vodafone,MTower, 859.00 ,Kite,68,Madhya Pradesh,543,266
20477,Idea,LTower, 368.00 ,Bulbul,74,Maharashtra,378,221
20478,BSNL,GTower, 782.00 ,Sparrow,25,Manipur,239,131
20479,Jio,GTower, 565.00 ,Spotted Dove,60,Meghalaya,737,202
20480,Airtel,MTower, 433.00 ,Kite,58,Mizoram,393,168
20481,Vodafone,LTower, 842.00 ,Bulbul,37,Nagaland,847,113
20482,BSNL,MTower, 433.00 ,Sparrow,59,Odisha,900,231
20483,Idea,GTower, 762.00 ,Spotted Dove,53,Punjab,572,262
20484,Jio,LTower, 754.00 ,Bulbul,70,Rajasthan,823,139
20485,Jio,MTower, 483.00 ,Kite,79,Sikkim,327,80
20486,Airtel,GTower, 820.00 ,Sparrow,40,Tamil Nadu,240,77
20487,BSNL,LTower, 536.00 ,Spotted Dove,30,Telangana,794,281
20488,Vodafone,GTower, 578.00 ,Kite,25,Tripura,665,183
20489,Idea,LTower, 721.00 ,Bulbul,72,Uttarakhand,613,168
20490,BSNL,MTower, 850.00 ,Sparrow,69,Uttar Pradesh,167,164
20491,Jio,LTower, 664.00 ,Bulbul,33,West Bengal,269,116
20492,Airtel,GTower, 341.00 ,Kite,68,Andhra Pradesh,551,183
20493,Vodafone,GTower, 382.00 ,Spotted Dove,76,Arunachal Pradesh,434,131
20494,BSNL,MTower, 756.00 ,Sparrow,20,Assam,552,151
20495,Idea,LTower, 567.00 ,Sparrow,36,Bihar,455,200
20496,Jio,MTower, 562.00 ,Bulbul,41,Chhattisgarh,542,257
20497,Jio,GTower, 891.00 ,Kite,33,Goa,823,165
20498,Airtel,LTower, 796.00 ,Bulbul,45,Gujarat,669,135
20499,BSNL,MTower, 892.00 ,Sparrow,70,Haryana,865,247
20500,Vodafone,GTower, 535.00 ,Spotted Dove,53,Himachal Pradesh,698,73
20501,Idea,LTower, 426.00 ,Kite,69,Jharkhand,773,239
20502,BSNL,GTower, 313.00 ,Bulbul,38,Karnataka,142,91
20503,Jio,LTower, 804.00 ,Sparrow,31,Kerala,163,178
20504,Airtel,MTower, 843.00 ,Spotted Dove,56,Madhya Pradesh,612,230
20505,Vodafone,LTower, 433.00 ,Bulbul,37,Maharashtra,853,140
20506,BSNL,GTower, 393.00 ,Kite,20,Manipur,460,88
20507,Idea,GTower, 701.00 ,Sparrow,49,Meghalaya,588,128
20508,Jio,MTower, 463.00 ,Spotted Dove,23,Mizoram,172,103
20509,Jio,LTower, 676.00 ,Kite,25,Nagaland,635,102
20510,Airtel,MTower, 451.00 ,Bulbul,77,Odisha,411,234
20511,BSNL,GTower, 334.00 ,Sparrow,66,Punjab,750,112
20512,Vodafone,LTower, 460.00 ,Bulbul,73,Rajasthan,451,293
20513,Idea,MTower, 663.00 ,Kite,38,Sikkim,804,216
20514,BSNL,GTower, 641.00 ,Spotted Dove,38,Tamil Nadu,347,163
20515,Jio,LTower, 544.00 ,Sparrow,61,Telangana,108,278
20516,Airtel,GTower, 555.00 ,Sparrow,61,Tripura,510,203
20517,Vodafone,LTower, 687.00 ,Bulbul,47,Uttarakhand,708,142
20518,BSNL,MTower, 802.00 ,Kite,35,Uttar Pradesh,539,297
20519,Idea,LTower, 812.00 ,Bulbul,31,West Bengal,332,74
20520,Jio,GTower, 564.00 ,Sparrow,30,Andhra Pradesh,732,116
20521,Jio,GTower, 459.00 ,Spotted Dove,20,Arunachal Pradesh,658,91
20522,Airtel,MTower, 390.00 ,Kite,42,Assam,630,142
20523,BSNL,LTower, 670.00 ,Bulbul,38,Bihar,359,282
20524,Vodafone,MTower, 725.00 ,Sparrow,68,Chhattisgarh,629,282
20525,Idea,GTower, 672.00 ,Spotted Dove,78,Goa,734,292
20526,BSNL,LTower, 439.00 ,Bulbul,35,Gujarat,639,110
20527,Jio,MTower, 767.00 ,Kite,47,Haryana,787,296
20528,Airtel,GTower, 596.00 ,Sparrow,60,Andhra Pradesh,323,274
20529,Vodafone,LTower, 471.00 ,Spotted Dove,39,Arunachal Pradesh,298,62
20530,BSNL,GTower, 684.00 ,Kite,38,Assam,712,295
20531,Idea,LTower, 492.00 ,Bulbul,76,Bihar,470,141
20532,Jio,MTower, 560.00 ,Sparrow,77,Chhattisgarh,809,167
20533,Jio,LTower, 734.00 ,Bulbul,64,Goa,784,189
20534,Airtel,GTower, 568.00 ,Kite,60,Gujarat,833,287
20535,BSNL,GTower, 820.00 ,Spotted Dove,67,Haryana,688,127
20536,Vodafone,MTower, 538.00 ,Sparrow,47,Himachal Pradesh,297,106
20537,Idea,LTower, 764.00 ,Sparrow,70,Jharkhand,786,73
20538,BSNL,MTower, 734.00 ,Bulbul,49,Karnataka,251,134
20539,Jio,GTower, 478.00 ,Kite,26,Kerala,208,84
20540,Airtel,LTower, 678.00 ,Bulbul,72,Madhya Pradesh,574,193
20541,Vodafone,MTower, 447.00 ,Sparrow,30,Maharashtra,895,184
20542,BSNL,GTower, 732.00 ,Spotted Dove,27,Manipur,466,240
20543,Idea,LTower, 821.00 ,Kite,80,Meghalaya,296,95
20544,Jio,GTower, 633.00 ,Bulbul,45,Mizoram,396,98
20545,Jio,LTower, 590.00 ,Sparrow,64,Nagaland,777,249
20546,Airtel,MTower, 604.00 ,Spotted Dove,47,Odisha,397,68
20547,BSNL,LTower, 862.00 ,Bulbul,64,Punjab,741,84
20548,Vodafone,GTower, 773.00 ,Kite,38,Rajasthan,775,208
20549,Idea,GTower, 761.00 ,Sparrow,68,Sikkim,790,57
20550,BSNL,MTower, 674.00 ,Spotted Dove,58,Tamil Nadu,217,217
20551,Jio,LTower, 868.00 ,Kite,36,Telangana,609,293
20552,Airtel,MTower, 672.00 ,Bulbul,77,Tripura,721,233
20553,Vodafone,GTower, 418.00 ,Sparrow,35,Uttarakhand,115,224
20554,BSNL,LTower, 392.00 ,Bulbul,21,Uttar Pradesh,359,208
20555,Idea,MTower, 705.00 ,Kite,58,West Bengal,442,267
20556,Jio,GTower, 315.00 ,Spotted Dove,71,Andhra Pradesh,167,105
20557,Jio,LTower, 820.00 ,Sparrow,78,Arunachal Pradesh,448,167
20558,Airtel,GTower, 898.00 ,Sparrow,24,Assam,562,222
20559,BSNL,LTower, 604.00 ,Bulbul,32,Bihar,724,254
20560,Vodafone,MTower, 732.00 ,Kite,32,Chhattisgarh,297,165
20561,Idea,LTower, 899.00 ,Bulbul,24,Goa,833,246
20562,BSNL,GTower, 852.00 ,Sparrow,27,Gujarat,884,190
20563,Jio,GTower, 590.00 ,Spotted Dove,54,Haryana,761,262
20564,Airtel,MTower, 782.00 ,Kite,43,Himachal Pradesh,867,219
20565,Vodafone,LTower, 383.00 ,Bulbul,54,Jharkhand,117,75
20566,BSNL,MTower, 300.00 ,Sparrow,67,Karnataka,264,86
20567,Idea,GTower, 634.00 ,Spotted Dove,62,Kerala,529,56
20568,Jio,LTower, 361.00 ,Bulbul,55,Madhya Pradesh,658,90
20569,Jio,MTower, 819.00 ,Kite,73,Maharashtra,832,285
20570,Airtel,GTower, 554.00 ,Sparrow,20,Manipur,423,264
20571,BSNL,LTower, 404.00 ,Spotted Dove,33,Meghalaya,398,251
20572,Vodafone,GTower, 576.00 ,Kite,66,Mizoram,289,131
20573,Idea,LTower, 422.00 ,Bulbul,48,Nagaland,230,232
20574,BSNL,MTower, 443.00 ,Sparrow,42,Odisha,336,134
20575,Jio,LTower, 642.00 ,Bulbul,30,Punjab,585,199
20576,Airtel,GTower, 665.00 ,Kite,46,Rajasthan,628,79
20577,Vodafone,GTower, 302.00 ,Spotted Dove,58,Sikkim,591,83
20578,BSNL,MTower, 306.00 ,Sparrow,55,Tamil Nadu,379,191
20579,Idea,LTower, 438.00 ,Sparrow,36,Telangana,715,254
20580,Jio,MTower, 767.00 ,Bulbul,57,Tripura,839,150
20581,Jio,GTower, 533.00 ,Kite,20,Uttarakhand,504,51
20582,Airtel,LTower, 751.00 ,Bulbul,25,Uttar Pradesh,524,96
20583,BSNL,MTower, 736.00 ,Sparrow,39,West Bengal,318,155
20584,Vodafone,GTower, 722.00 ,Spotted Dove,78,Andhra Pradesh,548,295
20585,Idea,LTower, 637.00 ,Kite,70,Arunachal Pradesh,167,191
20586,BSNL,GTower, 849.00 ,Bulbul,67,Assam,151,67
20587,Jio,LTower, 698.00 ,Sparrow,76,Bihar,742,143
20588,Airtel,MTower, 540.00 ,Spotted Dove,58,Chhattisgarh,296,187
20589,Vodafone,LTower, 320.00 ,Bulbul,80,Goa,431,227
20590,BSNL,GTower, 355.00 ,Kite,66,Gujarat,793,183
20591,Idea,GTower, 658.00 ,Sparrow,64,Haryana,562,117
20592,Jio,MTower, 712.00 ,Spotted Dove,40,Andhra Pradesh,553,129
20593,Jio,LTower, 437.00 ,Kite,50,Arunachal Pradesh,496,287
20594,Airtel,MTower, 895.00 ,Bulbul,71,Assam,509,300
20595,BSNL,GTower, 353.00 ,Sparrow,33,Bihar,330,298
20596,Vodafone,LTower, 896.00 ,Bulbul,53,Chhattisgarh,225,72
20597,Idea,MTower, 710.00 ,Kite,68,Goa,448,187
20598,BSNL,GTower, 640.00 ,Spotted Dove,27,Gujarat,371,225
20599,Jio,LTower, 707.00 ,Sparrow,34,Haryana,182,71
20600,Airtel,GTower, 733.00 ,Sparrow,68,Himachal Pradesh,447,150
20601,Vodafone,LTower, 606.00 ,Bulbul,80,Jharkhand,280,64
20602,BSNL,MTower, 367.00 ,Kite,72,Karnataka,415,83
20603,Idea,LTower, 523.00 ,Bulbul,32,Kerala,574,260
20604,Jio,GTower, 514.00 ,Sparrow,56,Madhya Pradesh,805,282
20605,Jio,GTower, 642.00 ,Spotted Dove,66,Maharashtra,507,199
20606,Airtel,MTower, 761.00 ,Kite,74,Manipur,587,118
20607,BSNL,LTower, 372.00 ,Bulbul,57,Meghalaya,814,140
20608,Vodafone,MTower, 630.00 ,Sparrow,39,Mizoram,236,232
20609,Idea,GTower, 717.00 ,Spotted Dove,42,Nagaland,574,59
20610,BSNL,LTower, 603.00 ,Bulbul,55,Odisha,146,256
20611,Jio,MTower, 621.00 ,Kite,49,Punjab,130,212
20612,Airtel,GTower, 351.00 ,Sparrow,68,Rajasthan,267,81
20613,Vodafone,LTower, 473.00 ,Spotted Dove,37,Sikkim,133,221
20614,BSNL,GTower, 559.00 ,Kite,49,Tamil Nadu,284,175
20615,Idea,LTower, 404.00 ,Bulbul,35,Telangana,686,145
20616,Jio,MTower, 327.00 ,Sparrow,50,Tripura,430,132
20617,Jio,LTower, 429.00 ,Bulbul,33,Uttarakhand,603,58
20618,Airtel,GTower, 429.00 ,Kite,79,Uttar Pradesh,394,110
20619,BSNL,GTower, 531.00 ,Spotted Dove,53,West Bengal,686,198
20620,Vodafone,MTower, 704.00 ,Sparrow,27,Andhra Pradesh,421,145
20621,Idea,LTower, 343.00 ,Sparrow,79,Arunachal Pradesh,631,212
20622,BSNL,MTower, 497.00 ,Bulbul,43,Assam,568,221
20623,Jio,GTower, 669.00 ,Kite,73,Bihar,728,223
20624,Airtel,LTower, 885.00 ,Bulbul,56,Chhattisgarh,553,210
20625,Vodafone,MTower, 882.00 ,Sparrow,53,Goa,163,172
20626,BSNL,GTower, 542.00 ,Spotted Dove,34,Gujarat,486,185
20627,Idea,LTower, 851.00 ,Kite,61,Haryana,548,97
20628,Jio,GTower, 445.00 ,Bulbul,22,Himachal Pradesh,534,60
20629,Jio,LTower, 328.00 ,Sparrow,25,Jharkhand,186,123
20630,Airtel,MTower, 528.00 ,Spotted Dove,48,Karnataka,809,193
20631,BSNL,LTower, 428.00 ,Bulbul,24,Kerala,459,179
20632,Vodafone,GTower, 845.00 ,Kite,43,Madhya Pradesh,199,72
20633,Idea,GTower, 815.00 ,Sparrow,61,Maharashtra,806,262
20634,BSNL,MTower, 513.00 ,Spotted Dove,50,Manipur,458,198
20635,Jio,LTower, 682.00 ,Kite,68,Meghalaya,788,183
20636,Airtel,MTower, 853.00 ,Bulbul,50,Mizoram,699,135
20637,Vodafone,GTower, 601.00 ,Sparrow,66,Nagaland,394,98
20638,BSNL,LTower, 469.00 ,Bulbul,59,Odisha,550,61
20639,Idea,MTower, 570.00 ,Kite,59,Punjab,317,52
20640,Jio,GTower, 836.00 ,Spotted Dove,69,Rajasthan,689,146
20641,Jio,LTower, 514.00 ,Sparrow,69,Sikkim,823,179
20642,Airtel,GTower, 597.00 ,Sparrow,38,Tamil Nadu,601,285
20643,BSNL,LTower, 463.00 ,Bulbul,62,Telangana,203,179
20644,Vodafone,MTower, 845.00 ,Kite,75,Tripura,315,101
20645,Idea,LTower, 596.00 ,Bulbul,30,Uttarakhand,232,262
20646,BSNL,GTower, 659.00 ,Sparrow,47,Uttar Pradesh,887,106
20647,Jio,GTower, 545.00 ,Spotted Dove,44,West Bengal,419,254
20648,Airtel,MTower, 880.00 ,Kite,33,Andhra Pradesh,663,60
20649,Vodafone,LTower, 876.00 ,Bulbul,60,Arunachal Pradesh,588,233
20650,BSNL,MTower, 580.00 ,Sparrow,45,Assam,875,51
20651,Idea,GTower, 324.00 ,Spotted Dove,52,Bihar,866,166
20652,Jio,LTower, 737.00 ,Bulbul,68,Chhattisgarh,450,275
20653,Jio,MTower, 358.00 ,Kite,55,Goa,540,287
20654,Airtel,GTower, 864.00 ,Sparrow,54,Gujarat,132,101
20655,BSNL,LTower, 542.00 ,Spotted Dove,59,Haryana,514,197
20656,Vodafone,GTower, 363.00 ,Kite,25,Andhra Pradesh,560,261
20657,Idea,LTower, 463.00 ,Bulbul,41,Arunachal Pradesh,462,184
20658,BSNL,MTower, 746.00 ,Sparrow,61,Assam,386,217
20659,Jio,LTower, 642.00 ,Bulbul,72,Bihar,310,202
20660,Airtel,GTower, 748.00 ,Kite,30,Chhattisgarh,148,288
20661,Vodafone,GTower, 326.00 ,Spotted Dove,40,Goa,872,65
20662,BSNL,MTower, 787.00 ,Sparrow,43,Gujarat,885,117
20663,Idea,LTower, 608.00 ,Sparrow,61,Haryana,414,269
20664,Jio,MTower, 515.00 ,Bulbul,58,Himachal Pradesh,600,151
20665,Jio,GTower, 443.00 ,Kite,52,Jharkhand,441,140
20666,Airtel,LTower, 320.00 ,Bulbul,63,Karnataka,220,258
20667,BSNL,MTower, 344.00 ,Sparrow,64,Kerala,290,80
20668,Vodafone,GTower, 543.00 ,Spotted Dove,74,Madhya Pradesh,700,65
20669,Idea,LTower, 519.00 ,Kite,58,Maharashtra,836,57
20670,BSNL,GTower, 593.00 ,Bulbul,20,Manipur,720,124
20671,Jio,LTower, 458.00 ,Sparrow,24,Meghalaya,342,120
20672,Airtel,MTower, 586.00 ,Spotted Dove,26,Mizoram,463,216
20673,Vodafone,LTower, 421.00 ,Bulbul,36,Nagaland,458,66
20674,BSNL,GTower, 645.00 ,Kite,67,Odisha,268,74
20675,Idea,GTower, 900.00 ,Sparrow,47,Punjab,393,113
20676,Jio,MTower, 779.00 ,Spotted Dove,65,Rajasthan,439,198
20677,Jio,LTower, 550.00 ,Kite,60,Sikkim,754,165
20678,Airtel,MTower, 841.00 ,Bulbul,41,Tamil Nadu,867,275
20679,BSNL,GTower, 525.00 ,Sparrow,26,Telangana,306,279
20680,Vodafone,LTower, 741.00 ,Bulbul,21,Tripura,674,242
20681,Idea,MTower, 547.00 ,Kite,39,Uttarakhand,654,127
20682,BSNL,GTower, 883.00 ,Spotted Dove,61,Uttar Pradesh,364,121
20683,Jio,LTower, 572.00 ,Sparrow,40,West Bengal,712,139
20684,Airtel,GTower, 780.00 ,Sparrow,40,Andhra Pradesh,674,217
20685,Vodafone,LTower, 887.00 ,Bulbul,64,Arunachal Pradesh,423,195
20686,BSNL,MTower, 617.00 ,Kite,67,Assam,540,237
20687,Idea,LTower, 574.00 ,Bulbul,29,Bihar,441,165
20688,Jio,GTower, 859.00 ,Sparrow,25,Chhattisgarh,554,159
20689,Jio,GTower, 337.00 ,Spotted Dove,20,Goa,540,264
20690,Airtel,MTower, 437.00 ,Kite,25,Gujarat,473,162
20691,BSNL,LTower, 426.00 ,Bulbul,73,Haryana,641,122
20692,Vodafone,MTower, 486.00 ,Sparrow,67,Himachal Pradesh,443,234
20693,Idea,GTower, 865.00 ,Spotted Dove,55,Jharkhand,390,112
20694,BSNL,LTower, 786.00 ,Bulbul,50,Karnataka,446,227
20695,Jio,MTower, 475.00 ,Kite,79,Kerala,544,160
20696,Airtel,GTower, 339.00 ,Sparrow,27,Madhya Pradesh,779,120
20697,Vodafone,LTower, 402.00 ,Spotted Dove,30,Maharashtra,278,273
20698,BSNL,GTower, 715.00 ,Kite,55,Manipur,470,220
20699,Idea,LTower, 687.00 ,Bulbul,70,Meghalaya,280,102
20700,Jio,MTower, 730.00 ,Sparrow,59,Mizoram,293,168
20701,Jio,LTower, 531.00 ,Bulbul,51,Nagaland,738,253
20702,Airtel,GTower, 603.00 ,Kite,34,Odisha,363,213
20703,BSNL,GTower, 435.00 ,Spotted Dove,66,Punjab,717,293
20704,Vodafone,MTower, 743.00 ,Sparrow,39,Rajasthan,142,225
20705,Idea,LTower, 491.00 ,Sparrow,79,Sikkim,556,234
20706,BSNL,MTower, 851.00 ,Bulbul,56,Tamil Nadu,183,146
20707,Jio,GTower, 822.00 ,Kite,25,Telangana,216,252
20708,Airtel,LTower, 640.00 ,Bulbul,30,Tripura,806,217
20709,Vodafone,MTower, 587.00 ,Sparrow,53,Uttarakhand,647,142
20710,BSNL,GTower, 382.00 ,Spotted Dove,71,Uttar Pradesh,220,279
20711,Idea,LTower, 552.00 ,Kite,22,West Bengal,683,262
20712,Jio,GTower, 885.00 ,Bulbul,43,Andhra Pradesh,699,63
20713,Jio,LTower, 849.00 ,Sparrow,46,Arunachal Pradesh,773,286
20714,Airtel,MTower, 522.00 ,Spotted Dove,26,Assam,849,178
20715,BSNL,LTower, 330.00 ,Bulbul,78,Bihar,553,92
20716,Vodafone,GTower, 809.00 ,Kite,53,Chhattisgarh,876,253
20717,Idea,GTower, 408.00 ,Sparrow,28,Goa,624,176
20718,BSNL,MTower, 497.00 ,Spotted Dove,26,Gujarat,892,150
20719,Jio,LTower, 761.00 ,Kite,40,Haryana,827,298
20720,Airtel,MTower, 400.00 ,Bulbul,28,Andhra Pradesh,714,169
20721,Vodafone,GTower, 889.00 ,Sparrow,38,Arunachal Pradesh,344,75
20722,BSNL,LTower, 666.00 ,Bulbul,58,Assam,327,291
20723,Idea,MTower, 730.00 ,Kite,26,Bihar,758,246
20724,Jio,GTower, 872.00 ,Spotted Dove,42,Chhattisgarh,789,213
20725,Jio,LTower, 889.00 ,Sparrow,36,Goa,244,55
20726,Airtel,GTower, 540.00 ,Sparrow,20,Gujarat,254,63
20727,BSNL,LTower, 598.00 ,Bulbul,43,Haryana,473,246
20728,Vodafone,MTower, 356.00 ,Kite,33,Himachal Pradesh,556,171
20729,Idea,LTower, 820.00 ,Bulbul,61,Jharkhand,426,63
20730,BSNL,GTower, 304.00 ,Sparrow,67,Karnataka,762,194
20731,Jio,GTower, 311.00 ,Spotted Dove,67,Kerala,766,266
20732,Airtel,MTower, 428.00 ,Kite,38,Madhya Pradesh,108,103
20733,Vodafone,LTower, 706.00 ,Bulbul,21,Maharashtra,107,281
20734,BSNL,MTower, 616.00 ,Sparrow,22,Manipur,698,195
20735,Idea,GTower, 341.00 ,Spotted Dove,72,Meghalaya,112,290
20736,Jio,LTower, 323.00 ,Bulbul,52,Mizoram,545,133
20737,Jio,MTower, 492.00 ,Kite,54,Nagaland,811,260
20738,Airtel,GTower, 418.00 ,Sparrow,24,Odisha,569,201
20739,BSNL,LTower, 342.00 ,Spotted Dove,40,Punjab,477,295
20740,Vodafone,GTower, 349.00 ,Kite,50,Rajasthan,896,55
20741,Idea,LTower, 729.00 ,Bulbul,37,Sikkim,759,90
20742,BSNL,MTower, 426.00 ,Sparrow,25,Tamil Nadu,189,50
20743,Jio,LTower, 793.00 ,Bulbul,71,Telangana,297,162
20744,Airtel,GTower, 644.00 ,Kite,52,Tripura,800,185
20745,Vodafone,GTower, 334.00 ,Spotted Dove,78,Uttarakhand,890,210
20746,BSNL,MTower, 859.00 ,Sparrow,36,Uttar Pradesh,613,134
20747,Idea,LTower, 715.00 ,Sparrow,49,West Bengal,274,212
20748,Jio,MTower, 644.00 ,Bulbul,62,Andhra Pradesh,408,119
20749,Jio,GTower, 623.00 ,Kite,73,Arunachal Pradesh,101,95
20750,Airtel,LTower, 716.00 ,Bulbul,40,Assam,795,171
20751,BSNL,MTower, 680.00 ,Sparrow,35,Bihar,417,197
20752,Vodafone,GTower, 523.00 ,Spotted Dove,42,Chhattisgarh,449,289
20753,Idea,LTower, 386.00 ,Kite,77,Goa,185,271
20754,BSNL,GTower, 363.00 ,Bulbul,31,Gujarat,453,230
20755,Jio,LTower, 749.00 ,Sparrow,54,Haryana,462,263
20756,Airtel,MTower, 534.00 ,Spotted Dove,70,Himachal Pradesh,880,263
20757,Vodafone,LTower, 538.00 ,Bulbul,47,Jharkhand,302,200
20758,BSNL,GTower, 471.00 ,Kite,26,Karnataka,268,198
20759,Idea,GTower, 445.00 ,Sparrow,79,Kerala,170,281
20760,Jio,MTower, 852.00 ,Spotted Dove,60,Madhya Pradesh,433,101
20761,Jio,LTower, 899.00 ,Kite,41,Maharashtra,343,94
20762,Airtel,MTower, 483.00 ,Bulbul,62,Manipur,310,127
20763,BSNL,GTower, 627.00 ,Sparrow,60,Meghalaya,313,267
20764,Vodafone,LTower, 804.00 ,Bulbul,80,Mizoram,253,124
20765,Idea,MTower, 378.00 ,Kite,30,Nagaland,180,133
20766,BSNL,GTower, 480.00 ,Spotted Dove,45,Odisha,526,199
20767,Jio,LTower, 865.00 ,Sparrow,22,Punjab,143,260
20768,Airtel,GTower, 729.00 ,Sparrow,64,Rajasthan,682,233
20769,Vodafone,LTower, 564.00 ,Bulbul,28,Sikkim,559,157
20770,BSNL,MTower, 394.00 ,Kite,46,Tamil Nadu,319,114
